year,Loss,tmin6
1929,253.2676155,11.70777974
1994,209.0076644,14.11922656
1999,270.369937,15.44479498
2014,266.3454829,15.60840654
1971,279.6199352,16.62660048
1947,326.7656011,13.90901892
1930,307.0024301,14.05461276
1976,294.5160925,15.22653088
1987,296.4474801,16.21259287
1991,367.7375167,16.82062008
1991,368.613704,16.45641485
1957,235.4136888,15.23423591
1985,225.7253229,12.5932288
1966,219.9559842,14.0548554
1942,190.6845714,14.99864819
1953,260.2763265,15.21442093
1932,222.9923019,14.89836492
1992,225.6597445,11.83550283
1998,227.4797807,14.78883536
2003,227.9926469,12.34565093
1996,258.4961227,14.21652688
2001,271.8280099,13.76725667
2006,221.9610229,14.04038752
1965,191.9242955,14.9276793
1977,199.7214311,14.60841059
1926,185.2598595,12.88759729
1978,191.9033833,15.2241187
1967,182.7313156,16.11802292
1956,197.0630451,16.23429585
1963,200.4476901,15.87463301
1990,202.3706554,15.95545783
1947,240.9873146,14.28177635
1991,207.8602463,17.80834682
1933,224.9503704,18.20709405
1974,208.8111664,13.6120786
1951,199.0584531,14.88047141
1993,208.1714179,14.96740904
1994,186.9159966,16.22789054
2003,193.4515289,13.73723425
1996,204.5101716,15.87868679
2001,199.0146547,14.97571787
2013,203.2085359,15.76677355
2015,198.5796884,15.81607976
1969,193.9522916,12.98435659
1977,219.2807647,13.71538292
1943,228.4979629,17.63042385
1926,202.6311291,12.20901143
1958,238.9028464,12.97177847
1946,223.4548199,14.73545307
1996,247.1367276,15.39530591
1993,258.9026588,14.58071449
2001,236.4196319,14.39296323
2015,260.5314608,15.45618685
2004,214.5254332,15.00611149
2013,239.5986208,15.30558664
2008,210.8030972,16.0751654
1973,361.1999681,17.52220528
1984,349.1898437,18.94862215
1939,359.0447819,18.46703503
1925,307.830761,18.62832875
1947,364.9596594,17.08184438
1990,369.016913,17.29386729
1991,399.8813281,18.75872667
1958,380.0232152,15.29100222
1998,364.3147748,18.32897679
2002,389.7114385,18.43656281
1942,181.3875724,15.3688802
1970,327.2086935,14.74565512
1980,238.1112261,13.10943636
1964,239.565664,14.84259367
1987,277.1038562,15.72964583
1953,276.654765,15.8592637
1991,310.927506,16.42177029
1955,320.0193607,13.12806804
1983,318.9946156,14.7398955
1965,221.8011848,13.81528587
1999,267.7981238,15.53577851
2002,246.890597,15.85341199
2008,239.5478568,15.49478332
2015,260.53825,14.62114793
1938,233.0253458,15.00403974
1970,267.0217931,15.43187673
1932,206.5325421,16.11537014
1991,386.1152161,17.3114059
1989,216.9243148,14.81684634
1965,193.6196499,14.97060688
2010,261.9748941,17.16907098
2018,236.2330424,17.53699679
2008,227.9215323,16.54829094
1929,200.0155085,13.9897043
1988,258.0193102,15.14888598
1975,200.9345637,16.97427253
1974,223.4286291,14.25512781
1952,218.1324394,18.62685325
1971,202.3875332,18.11863534
1986,202.5524375,17.01857989
1946,214.0541758,16.16792518
1980,246.4120758,15.24973975
1999,215.7948969,16.77057241
1992,206.5754181,13.93935634
2015,223.4484738,17.32662283
2016,208.0949838,17.76157262
2009,212.8285115,17.17089051
2017,210.9193288,16.59538756
2004,208.4891237,15.24842103
1969,195.7722648,13.78427671
1944,199.7705026,18.2269444
1936,293.8404701,14.96138344
1971,184.1464476,17.9560337
1989,239.811276,14.88437307
1960,223.8616101,15.24967006
1982,186.8029254,13.33079526
1937,171.6298269,16.08245221
1945,234.9184981,14.67874236
1938,204.4176161,15.3101206
1925,166.626285,16.83148953
1992,190.0366018,14.18015988
1999,203.5998317,16.33365574
1998,206.4908762,16.23119967
2002,203.3127917,17.28697998
