year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12,tmin6_2,dpt6_2,dpt11_2,tmax12_2,dpt12_2,tmin6_dpt6,tmin6_dpt11,tmin6_tmax12,tmin6_dpt12,dpt6_dpt11,dpt6_tmax12,dpt6_dpt12,dpt11_tmax12,dpt11_dpt12,tmax12_dpt12
1942,262.6322265,14.54542378,13.46548803,-0.687008695,4.140615231,-3.759668286,211.5693529,181.3193678,0.471980947,17.14469449,14.13510562,195.8612297,-9.99283261,60.22700324,-54.68596848,-9.25090736,55.75540482,-50.62576829,-2.844638667,2.582924803,-15.56733977
1956,263.6777133,15.27176419,13.65713943,-4.174472052,-1.053858135,-10.49822714,233.2267814,186.5174575,17.42621692,1.11061697,110.2127731,208.5686129,-63.7515528,-16.09427293,-160.3264493,-57.01134687,-14.3926875,-143.3757519,4.399301334,43.8245558,11.06364208
1946,279.8193887,13.49350487,12.29418677,-1.814010073,-2.844019287,-10.91296148,182.0746736,151.1470283,3.290632544,8.088445706,119.0927282,165.891669,-24.47735374,-38.37578809,-147.2540988,-22.30177863,-34.96490429,-134.1659866,5.159079634,19.79622204,31.03667292
1967,254.311202,14.98972468,13.39599789,-0.913244645,0.291028168,-7.678565508,224.691846,179.4527595,0.834015782,0.084697395,58.96036826,200.8023202,-13.6892858,4.362432119,-115.0995829,-12.23382334,3.89861273,-102.8620473,-0.265779916,7.012408834,-2.234678856
1973,274.3410903,15.43447276,14.32012476,-0.919691277,-1.311251114,-8.78071405,238.2229493,205.0659733,0.845832045,1.719379483,77.10093923,221.0235756,-14.19494997,-20.23846959,-135.5256918,-13.17009384,-18.77727955,-125.7409207,1.205946212,8.07554612,11.51372108
1960,291.7758229,13.07603503,11.90267483,-5.373427664,4.012084564,-3.116082884,170.9826921,141.6736682,28.87372487,16.09682255,9.709972542,155.6397931,-70.26312838,52.46215831,-40.74600896,-63.95816223,47.75453796,-37.08972133,-21.55864619,16.74404598,-12.50198804
1953,259.3072225,14.92631499,14.26525791,-2.665414788,1.500467141,-5.351795058,222.7948793,203.4975833,7.104435994,2.25140164,28.64171034,212.9277331,-39.78482072,22.39644518,-79.88257881,-38.0228294,21.40455075,-76.3447368,-3.999367306,14.26475369,-8.030192627
1965,267.9282928,12.41912699,11.56062004,0.540124271,-1.043719242,-8.430392085,154.2347153,133.6479357,0.291734229,1.089349856,71.0715107,143.5728084,6.70787192,-12.96208181,-104.6981099,6.244171477,-12.06604158,-97.46055968,-0.563738095,-4.553459383,8.798962435
1970,328.1343318,15.97337607,15.85002641,-0.737783084,2.072844785,-5.482719545,255.1487431,251.2233371,0.544323879,4.296685504,30.06021361,253.1784325,-11.78488665,33.11032929,-87.57754119,-11.69388136,32.85464458,-86.90124957,-1.529309818,4.045057733,-11.36482662
1945,336.8605083,15.01033177,14.19852507,2.453151337,0.293870126,-8.180048316,225.3100598,201.5981143,6.017951482,0.086359651,66.91319046,213.124572,36.82261544,4.411088086,-122.7852391,34.83113077,4.172522351,-116.1446211,0.720907892,-20.06689646,-2.403871828
1980,303.8395944,15.60254843,14.86445797,-0.316411839,6.737585997,-4.359503779,243.4395175,220.9521107,0.100116452,45.39506507,19.0052732,231.9234253,-4.936831047,105.1235118,-68.01936885,-4.703290486,100.1505639,-64.80166068,-2.131851978,1.379398609,-29.37253162
1960,325.4919678,15.65784729,14.84757512,-3.69233513,6.738192825,-1.259299173,245.1681816,220.4504868,13.63333871,45.40324254,1.585834406,232.4810637,-57.81401959,105.5055942,-19.71791413,-54.82222319,100.0458241,-18.69753906,-24.87966608,4.649754574,-8.485400649
1950,305.9978645,15.40665463,14.79038976,-0.31046581,7.763409364,-4.198662604,237.3650069,218.7556294,0.096389019,60.27052496,17.62876766,227.8704269,-4.783239507,119.6081668,-64.68734465,-4.591910336,114.8238504,-62.0998564,-2.410273176,1.303541186,-32.59593658
1964,312.258961,16.14633871,15.38877191,1.488945,-1.600454979,-12.34284774,260.7042536,236.8143008,2.216957212,2.561456139,152.3458904,248.4723235,24.04101028,-25.84148817,-199.2918002,22.91303498,-24.62903661,-189.9412686,-2.382989438,-18.37782143,19.75417212
1929,295.8599813,15.09755184,13.85704098,1.195789901,6.132083967,-3.844096142,227.9360715,192.0175846,1.429913486,37.60245378,14.77707515,209.2073945,18.05350001,92.57945556,-58.03644078,16.57010965,84.9725388,-53.26779776,7.332684077,-4.596731344,-23.57232032
1932,276.5142538,16.99241143,15.80796773,4.716396457,8.310327071,0.089203943,288.7420461,249.8918438,22.24439554,69.06153603,0.007957344,268.6154915,80.14294904,141.2124967,1.515790108,74.556643,131.3693822,1.41013306,39.19479715,0.420721163,0.741313946
1931,234.8426185,17.00111134,14.8945586,-1.37704314,1.800406163,-6.521671852,289.0377866,221.8478758,1.896247811,3.241462351,42.53220374,253.224049,-23.41126374,30.60890562,-110.8756692,-20.51044975,26.81625509,-97.13742355,-2.479236956,8.980623487,-11.74165819
1933,263.5119438,17.63701404,14.92638495,-4.347258762,2.034774292,-7.977506559,311.0642641,222.7969677,18.89865875,4.14030642,63.6406109,263.2568609,-76.67266381,35.88734275,-140.6993952,-64.88885776,30.37182437,-119.0753338,-8.84569037,34.68028529,-16.23242526
1929,212.488049,13.39381673,11.89523005,0.121381768,3.598366565,-5.421617678,179.3943265,141.496498,0.014733534,12.94824193,29.39393825,159.3225313,1.625765152,48.19586229,-72.61615355,1.443864052,42.80339811,-64.49138955,0.436776095,-0.658085538,-19.50896778
1943,203.5086437,17.6494719,15.88736835,-0.671747362,-1.021134913,-9.39274555,311.5038584,252.4084731,0.451244518,1.04271651,88.22366896,280.4036613,-11.85598619,-18.02249195,-165.7769987,-10.67229777,-16.2231465,-149.2260084,0.685944684,6.309552043,9.591260409
1945,268.8833826,13.54911457,12.15576775,1.344077212,-1.041179583,-10.01272158,183.5785057,147.7626895,1.806543553,1.084054924,100.2545935,164.6998899,18.21105615,-14.10706146,-135.6635119,16.33829043,-12.65633719,-121.7123181,-1.399425752,-13.45787091,10.42504128
1990,259.3484208,15.49914641,14.37088497,-3.158610976,-4.285360244,-14.24792204,240.2235395,206.5223349,9.976823299,18.36431242,203.0032824,222.7364503,-48.95577398,-66.41942584,-220.8306297,-45.39203501,-61.58441913,-204.7552487,13.5357859,45.00364294,61.05747866
1938,239.689241,14.56774899,13.42906834,-3.833502305,-0.545700719,-8.051633803,212.2193105,180.3398765,14.69573992,0.297789274,64.8288069,195.6312967,-55.84549931,-7.949631091,-117.2941802,-51.48036444,-7.328252245,-108.1259406,2.091944963,30.86595674,4.393782353
1952,221.9940344,17.85273953,16.38035106,-5.421968252,1.342318493,-8.96637935,318.7203087,268.3159008,29.39773973,1.801818937,80.39595864,292.4341409,-96.79698694,23.96406242,-160.0744351,-88.8137434,21.98764815,-146.8724415,-7.278008254,48.61542417,-12.03573682
1974,291.2829457,13.42320893,12.3256523,0.389752892,0.394043621,-6.964031164,180.182538,151.9217045,0.151907317,0.155270375,48.49773006,165.449806,5.231734498,5.289329849,-93.47964532,4.803958625,4.856844659,-85.8362267,0.153579641,-2.714251285,-2.744132055
1996,232.3293685,15.58755845,15.01248692,-4.825397321,0.852477151,-8.573593455,242.9719783,225.3747636,23.28445931,0.726717293,73.50650474,234.0080173,-75.21616277,13.28803742,-133.6413891,-72.44121418,12.79780208,-128.7109596,-4.113540961,41.37099489,-7.308792523
1993,252.4399063,14.370728,13.75375231,-0.495919049,1.419412681,-5.868779366,206.5178232,189.1657027,0.245935703,2.014732358,34.44257124,197.6514335,-7.126717767,20.39799355,-84.33863195,-6.820747771,19.52225044,-80.71773777,-0.703913787,2.910439483,-8.330219851
1999,265.4126078,16.02557677,14.77470688,0.500660415,5.962832894,-4.281354184,256.8191108,218.2919634,0.250660851,35.55537613,18.32999365,236.7731993,8.02337192,95.55783632,-68.61117016,7.397110881,88.09910818,-63.25575312,2.985354393,-2.143504564,-25.52899956
2017,209.1266393,15.4912073,13.15650795,2.741283024,-0.320258096,-7.692987741,239.9775037,173.0937013,7.514632618,0.102565248,59.18206039,203.810192,42.4657836,-4.96118456,-119.1736679,36.06571189,-4.213478188,-101.2128543,-0.877918083,-21.0886567,2.463741609
2004,200.0835858,15.28114767,13.26276657,0.175664734,3.694259758,-5.259438452,233.5134742,175.9009772,0.030858099,13.64755516,27.66169283,202.6702945,2.684358738,56.45252891,-80.37025566,2.329800359,48.99610483,-69.7547045,0.648951157,-0.923897856,-19.42973182
2011,243.7385332,16.49142012,14.71198508,-1.245672603,-2.940115805,-9.808480968,271.9669377,216.442505,1.551700233,8.644280944,96.2062989,242.6215268,-20.54291023,-48.48668494,-161.7557804,-18.32631675,-43.25493985,-144.3022256,3.662421707,12.21815602,28.83806991
1969,199.0950595,12.10697636,11.59508627,-1.125300974,0.511038149,-8.190715309,146.5788766,134.4460256,1.266302282,0.26115999,67.08781727,140.3814354,-13.62399229,6.187126788,-99.16479664,-13.04796187,5.925531424,-94.97205063,-0.575071727,9.217019914,-4.185767989
1926,202.0617775,11.03861528,10.52344869,-3.857280113,-1.667485503,-10.38705701,121.8510273,110.7429722,14.87860987,2.780507903,107.8909533,116.1643015,-42.5790312,-18.40673096,-114.6587262,-40.59188933,-17.54769813,-109.3076614,6.431958669,40.06578843,17.32026698
1975,201.3302471,15.02022281,14.46725954,-0.51242394,1.132164586,-5.484122832,225.6070933,209.3015985,0.262578294,1.28179665,30.07560323,217.3014617,-7.696721749,17.00536434,-82.37274686,-7.413370129,16.3793189,-79.34022833,-0.580148238,2.810195828,-6.208929655
1971,200.9529949,16.81766362,15.6266182,-1.583678212,1.958621908,-7.409672436,282.8338098,244.1911965,2.508036678,3.83619978,54.90324562,262.8032085,-26.63376745,32.93944442,-124.6133786,-24.74753477,30.60663677,-115.7881222,-3.101826841,11.73453679,-14.51274677
1973,204.4576856,15.54662365,14.35301037,-1.366067931,-0.93797962,-9.300023827,241.6975069,206.0089065,1.866141592,0.879805767,86.49044318,223.1408504,-21.237744,-14.58241614,-144.5839704,-19.60718717,-13.46283121,-133.4833384,1.281343878,12.70446431,8.723232813
1944,199.8587399,16.72620579,14.76161471,-4.173129285,2.654906152,-8.849981545,279.7659602,217.9052687,17.41500803,7.048526678,78.32217334,246.9058054,-69.80061922,44.40650667,-148.0266126,-61.60212662,39.1907017,-130.6400177,-11.07926661,36.93211715,-23.49587045
1987,201.1045705,14.84900049,14.01256197,-3.957189376,1.23055668,-5.878018594,220.4928154,196.3518929,15.65934776,1.514269743,34.55110259,208.0725394,-58.76030697,18.27253674,-87.28270095,-55.45036135,17.24325173,-82.36609978,-4.869545821,23.26043273,-7.233235046
1950,203.2871396,13.92744467,12.50480888,-2.080429818,3.687988302,-7.014790381,193.9737149,156.3702452,4.328188229,13.60125771,49.20728409,174.1600338,-28.97507118,51.364253,-97.69810488,-26.01537728,46.11758888,-87.71861309,-7.672600833,14.59377908,-25.87046487
2001,201.967509,13.63553808,12.93518165,-3.247263536,-5.505177233,-14.27942672,185.9278989,167.3189244,10.54472047,30.30697637,203.9020274,176.3781621,-44.27818561,-75.06605383,-194.7076668,-42.00394371,-71.21046754,-184.7069785,17.87676129,46.36906169,78.61077486
2000,203.7230075,13.69941502,13.02968369,-0.471446849,1.789106432,-6.241103678,187.6739719,169.7726571,0.222262131,3.200901825,38.95137512,178.4990445,-6.458546045,24.50971153,-85.49946947,-6.142803321,23.3114909,-81.31960682,-0.84346859,2.942348664,-11.16599873
1993,207.888979,13.33506389,13.17361822,-1.330054927,0.642626648,-6.709920797,177.8239289,173.5442169,1.769046109,0.412969009,45.0230371,175.6710405,-17.73636742,8.569467405,-89.4772225,-17.52163582,8.465718115,-88.39393484,-0.854728739,8.924563215,-4.311973909
2015,201.8203804,14.18542058,13.99392772,-5.432608782,2.432791985,-4.453138405,201.2261572,195.8300131,29.51323817,5.918476844,19.83044166,198.5097504,-77.06384044,34.51017751,-63.1696412,-76.02353463,34.04431521,-62.31689698,-13.2164071,24.19215881,-10.83355942
2005,203.5721957,16.09838141,14.79923571,0.308570493,1.708505927,-7.306150236,259.1578841,219.0173775,0.095215749,2.918992503,53.37983128,238.243741,4.967485495,27.50418006,-117.6171932,4.566607463,25.28458192,-108.1254395,0.527194517,-2.254462383,-12.48260098
2009,201.6227294,14.99197769,13.39562388,-2.079621696,-1.089236066,-10.36094342,224.7593951,179.4427392,4.3248264,1.186435207,107.3491485,200.8268944,-31.17764208,-16.3298028,-155.3310325,-27.85783006,-14.59099666,-138.7913011,2.265198955,21.54684272,11.28551324
1925,197.3937161,17.44109975,15.85425222,-0.399558556,1.292065157,-9.009130838,304.1919604,251.3573135,0.15964704,1.66943237,81.16443845,276.5155944,-6.968740626,22.53503728,-157.1291496,-6.334702121,20.48472688,-142.8330326,-0.516255688,3.599675307,-11.64038405
1946,229.1517388,16.26841147,14.80793274,-0.292323058,-0.322725059,-8.760473061,264.6612117,219.2748721,0.08545277,0.104151464,76.74588826,240.9015429,-4.755631788,-5.250224048,-142.5189804,-4.328700181,-4.778890965,-129.7244959,0.094339976,2.560888274,2.827224184
1987,235.0323011,17.32913822,15.99836105,-1.250245776,3.973254563,-3.630735715,300.2990314,255.9475562,1.563114499,15.78675182,13.18224184,277.2378099,-21.66568185,68.8530775,-62.91752104,-20.00188332,63.56556104,-58.08582085,-4.967544733,4.539311991,-14.42583725
1991,239.9893749,17.90276387,16.7997699,2.772952294,4.139509913,-5.50826895,320.5089541,282.2322688,7.689264427,17.13554232,30.34102682,300.7623136,49.64351015,74.1086685,-98.61323833,46.5849605,69.54281405,-92.53765093,11.47866351,-15.27416702,-22.80153392
1949,244.8949014,17.6605352,16.78645299,2.19482113,6.29119323,-3.979705116,311.8945036,281.7850039,4.817239794,39.57911225,15.83805281,296.4577439,38.76171583,111.1058395,-70.28372229,36.84326172,105.6068194,-66.80513283,13.80804383,-8.73474088,-25.03709388
1975,221.9784798,16.63436136,16.1096817,1.265685288,3.311205281,-3.110312378,276.7019778,259.5218444,1.601959248,10.96408041,9.674043086,267.9742667,21.05386645,55.07978517,-51.73806002,20.38978712,53.3424631,-50.10614238,4.190943809,-3.936676617,-10.29888277
1999,243.290854,16.47934863,16.02781636,1.565853938,7.028463133,-3.316740727,271.5689314,256.8908974,2.451898554,49.39929401,11.00076905,264.1279737,25.80425295,115.8244943,-54.65772677,25.09721936,112.6509164,-53.1601113,11.00554667,-5.193531527,-23.31158992
2003,231.8920517,14.141036,13.23832525,-1.251216566,5.703193482,-5.639536712,199.9688992,175.2532555,1.565542894,32.52641589,31.80437433,187.203634,-17.6934985,80.64906435,-79.74889168,-16.56401186,75.50073029,-74.65802127,-7.135930162,7.056281757,-32.16336902
2013,243.2938666,16.78770794,15.69188851,-0.651058006,7.344047376,-1.397323438,281.827138,246.2353649,0.423876527,53.93503186,1.952512789,263.4308413,-10.92977165,123.2897225,-23.45785777,-10.21632964,115.2419726,-21.92664359,-4.781400838,0.90973861,-10.26200953
1931,210.5423918,17.0162834,15.44667487,0.056218329,3.305858112,-4.757976082,289.5539008,238.5997646,0.003160501,10.92869785,22.6383364,262.8449973,0.956627025,56.25341851,-80.96306944,0.868386256,51.06451543,-73.4949096,0.18584982,-0.267485467,-15.72919383
1979,192.592422,15.70459609,12.74986056,1.973929143,3.577619815,-5.011942724,246.6343383,162.5589443,3.89639626,12.79936354,25.11956986,200.2314103,30.99975989,56.18507416,-78.71053609,25.16732133,45.61415378,-63.90157086,7.061968015,-9.893219804,-17.9308256
1957,255.5365968,16.5443391,16.17437107,-0.209649216,5.480776703,-1.323276301,273.7151561,261.6102795,0.043952794,30.03891327,1.751060169,267.5942796,-3.468507723,90.67582828,-21.89273184,-3.390944217,88.64811614,-21.40316192,-1.14904054,0.277423839,-7.252581922
1961,254.1281714,14.290812,13.37776102,1.161443578,0.717251318,-8.13835138,204.2273078,178.9644899,1.348951185,0.514449453,66.23276318,191.1790678,16.59797183,10.25010374,-116.3036496,15.53751462,9.595216724,-108.8729199,0.833046937,-9.452235944,-5.837243253
1960,252.1726149,14.92238769,14.35585408,-2.847768303,5.883430164,-1.071115511,222.6776543,206.0905463,8.109784308,34.61475049,1.147288438,214.2236201,-42.49550266,87.79482583,-15.98360092,-40.88214621,84.46166491,-15.37677798,-16.75464593,3.050288802,-6.301833307
1926,152.6455313,12.95289718,12.22884003,-1.467478415,1.611497831,-7.144870177,167.7775455,149.5445284,2.153492898,2.596925259,51.04916985,158.3989075,-19.00809703,20.87356571,-92.5467688,-17.94555878,19.70674917,-87.37347441,-2.364838282,10.48494276,-11.51394279
1958,254.3350267,13.09465705,13.66548582,0.508121826,6.42247643,-2.47168517,171.4700433,186.7455028,0.25818779,41.24820349,6.109227579,178.9448503,6.653681049,84.10012626,-32.36586964,6.943731608,87.76626061,-33.77677865,3.26340045,-1.255917181,-15.87433975
