year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12
1983,309.5839431,16.1408062,14.46186161,1.942746759,8.498444038,0.609177857
1945,285.749019,15.08907253,14.25218346,2.522194375,0.723578566,-7.245563743
1972,232.4927393,13.61786261,12.70124514,0.736651589,7.963634506,-0.186309898
1954,302.9138509,18.05270756,16.05333669,-0.527681791,6.063381739,-4.393487267
1938,266.9296319,15.53754062,14.77764338,-1.632287431,1.929506937,-5.255442628
1961,260.4083581,14.62488754,13.74293862,1.552665736,1.48367766,-7.641817358
1932,232.2659858,16.52148081,15.49900456,5.682309885,8.736920381,0.698383998
1989,244.5146217,16.48553177,15.37631283,1.880439091,5.376337911,-5.420872376
1965,226.6252747,15.7615208,14.56835944,2.146525968,3.571894422,-3.929113
1960,283.0606257,15.21965635,14.71683769,-2.073769227,6.679823928,-0.658967949
1963,222.7818387,15.25138637,14.73662813,0.647397828,3.024648715,-7.208022155
1935,250.3710668,14.7505797,14.09822413,3.108549869,2.220182201,-5.319449635
2003,252.0677952,14.38733525,13.00097783,-0.135115433,4.409025775,-5.069340073
1999,259.0165677,17.46493106,16.54716527,2.380420272,7.272681531,-1.636959296
1927,333.6344658,15.68514822,14.97299932,-1.005885187,5.218387828,-3.693800487
1949,374.0363168,18.57637739,17.70509594,3.994087951,9.048024877,-1.513821961
1928,381.3485133,15.1779995,15.07411423,3.694805239,6.555030525,-4.433462192
1934,352.7516627,19.3099675,17.20760412,-0.002712534,10.44644255,-0.991478259
1985,365.9021373,16.79312966,15.16692641,0.338155691,10.8558057,1.158282769
1939,391.1725102,18.29935498,17.85910949,1.411197081,7.70402586,-3.203755142
1987,349.0780262,18.18589499,17.46588838,2.032060716,5.516980396,-2.183326124
1961,356.383025,15.38031796,14.85450245,1.840718863,3.990179027,-6.380690811
1958,380.8035096,15.46813288,15.46129487,1.872730464,10.22405191,-0.614067387
1998,381.5775922,18.42194367,17.85756029,0.669707753,5.633719398,-1.953308297
2010,376.4568645,20.38011603,19.6656434,3.430778173,5.062118547,-3.86878413
2017,367.5778804,17.05837458,15.95696075,3.898022982,5.035217688,-3.986334136
1942,347.0406112,17.32782319,16.54024683,1.236615705,8.158565508,-0.647966896
1984,380.6359643,18.41915589,16.17848033,3.211881939,-2.924112734,-10.05344979
1938,305.0338713,15.96804324,15.2564381,-1.561825216,2.528153313,-4.815405614
1953,337.6655523,18.78082802,16.92950649,-0.28707172,5.898611207,-2.113410833
1927,238.6896799,14.27255085,14.25049728,-1.379959526,3.902453798,-4.845498885
1975,280.4728289,16.88763973,16.45254316,2.308326454,5.058020094,-1.780267296
1946,301.1059265,16.25482317,15.18313071,1.366420535,1.586052013,-7.361411534
1930,370.3079639,14.67551741,13.95569464,-0.943163635,4.833626168,-4.059932191
2002,370.9010133,18.18026788,16.6473518,3.086375161,7.598525419,-0.871993919
