year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12,tmin6_2,dpt6_2,dpt11_2,tmax12_2,dpt12_2,tmin6_3,dpt6_3,dpt11_3,tmax12_3,dpt12_3,tmin6_dpt6,tmin6_dpt11,tmin6_tmax12,tmin6_dpt12,dpt6_dpt11,dpt6_tmax12,dpt6_dpt12,dpt11_tmax12,dpt11_dpt12,tmax12_dpt12,tmin6_2_dpt6,dpt6_2_tmin6,tmin6_2_dpt11,dpt11_2_tmin6,tmin6_2_tmax12,tmax12_2_tmin6,tmin6_2_dpt12,dpt12_2_tmin6,dpt6_2_dpt11,dpt11_2_dpt6,dpt6_2_tmax12,tmax12_2_dpt6,dpt6_2_dpt12,dpt12_2_dpt6,dpt11_2_tmax12,tmax12_2_dpt11,dpt11_2_dpt12,dpt12_2_dpt11,tmax12_2_dpt12,dpt12_2_tmax12,tmin6_dpt6_dpt11,tmin6_dpt6_tmax12,tmin6_dpt6_dpt12,tmin6_dpt11_tmax12,tmin6_dpt11_dpt12,tmin6_tmax12_dpt12,dpt6_dpt11_tmax12,dpt6_dpt11_dpt12,dpt6_tmax12_dpt12,dpt11_tmax12_dpt12
1949,224.6473657,17.212965,16.89299899,2.810038289,6.898811474,-3.106871486,296.286164,285.3734147,7.896315183,47.59359975,9.652650428,5099.963369,4820.812806,22.188948,328.339272,-29.98954438,290.7786002,48.3690907,118.7490004,-53.47847013,47.46997396,116.5416152,-52.48437686,19.38592439,-8.730427832,-21.43372065,5005.161867,4912.122599,832.5754651,135.9189968,2044.022387,819.2269665,-920.5230344,166.1507339,801.9102219,133.3924444,1968.737388,803.9986323,-886.618525,163.0622139,54.47518979,133.7398376,-24.53283648,27.12431729,-147.867198,66.59181553,817.0990001,2006.026744,-903.4117417,333.6892379,-150.2765487,-368.9378833,327.486401,-147.4831085,-362.0798212,-60.2295757
1942,209.6525961,17.31138984,16.35198087,0.949640971,7.506933804,-0.865229553,299.6842183,267.3872785,0.901817973,56.35405514,0.74862218,5187.950332,4372.311664,0.856403295,423.0461615,-0.647730034,283.0755156,16.43960505,129.9554576,-14.9783261,15.52851099,122.753238,-14.14821711,7.128891904,-0.821657433,-6.495220981,4900.430605,4628.845417,284.5924119,15.6117225,2249.709589,975.5670176,-259.2956423,12.9596904,253.9219147,14.74651025,2007.2586,921.5004317,-231.3513755,12.24145556,6.769887828,53.51611962,-0.780279562,0.710922293,-48.75919395,5.619857147,268.8201074,2125.029157,-244.9253019,123.4110269,-14.22403214,-112.4413025,116.5715041,-13.43572663,-106.2097293,-6.168127957
1940,205.1680487,16.65166937,15.28212571,-0.57845968,7.43619006,-2.560283431,277.2780929,233.5433661,0.334615601,55.2969226,6.555051245,4617.143127,3569.039079,-0.193561634,411.1984262,-16.78278909,254.4729046,-9.632319337,123.8249783,-42.63299318,-8.840093546,113.6407913,-39.12657323,-4.301536122,1.481020734,-19.0387542,4237.398671,3888.886916,-160.3941969,5.571908361,2061.892598,920.7860725,-709.9105068,109.152546,-135.0954208,5.113637684,1736.672858,845.0545224,-597.9372106,100.1751171,2.488265209,-31.98704015,-0.85671078,-3.791832846,-141.5757947,48.74460691,-147.2023149,1892.308883,-651.5227611,-71.6277573,24.6614676,-317.0270401,-65.73661575,22.63314503,-290.9526349,11.01315166
1985,197.1796148,15.14838112,13.9852507,-0.072309212,8.015917879,-1.000425365,229.4734506,195.5872373,0.005228622,64.25493944,1.000850911,3476.151287,2735.336548,-0.000378078,515.0623178,-1.001276638,211.8539077,-1.095367501,121.4281791,-15.15482471,-1.011262457,112.1046212,-13.99119954,-0.579624705,0.07233997,-8.01932757,3209.243736,2962.830012,-16.59304437,0.079205161,1839.440335,973.3583115,-229.5710606,15.16127105,-14.14275899,0.073123591,1567.811232,898.621437,-195.6704332,13.99715091,0.041912206,-4.646224033,-0.005230846,-0.072370741,-64.28227124,8.022738712,-15.31898911,1698.203527,-211.944023,-8.780375934,1.095833432,-121.4798304,-8.106196809,1.011692613,-112.1523065,0.579871257
1947,272.5659751,15.85789228,15.19172563,2.16454974,8.263271644,-2.184446946,251.4727474,230.7885276,4.685275576,68.28165826,4.771808459,3987.827739,3506.075989,10.14151203,564.2298905,-10.42376241,240.9087485,34.3251966,131.0380716,-34.64072435,32.88324576,125.5333556,-33.18551865,17.88626249,-4.728344068,-18.0506785,3820.304982,3659.819609,544.3252701,74.29859537,2077.987623,1082.803181,-549.3288751,75.6708245,499.5532473,71.17742105,1907.068296,1037.316218,-504.1452942,72.49200486,38.71570481,147.7990456,-10.23473592,10.32881676,-149.1576598,39.43074953,521.4589689,1990.69443,-526.2523799,283.6384237,-74.98157088,-286.2457152,271.7231922,-71.83170576,-274.2209553,-39.07159146
1996,220.9842822,16.92765401,16.5063014,-2.66280632,2.720965454,-6.088958938,286.5454701,272.4579857,7.090537498,7.403653004,37.07542094,4850.542576,4497.27363,-18.88072806,20.14508406,-225.7507157,279.4129589,-45.07506407,46.05956178,-103.0717902,-43.95308368,44.91307588,-100.5061914,-7.245404009,16.21371834,-16.56784692,4729.805894,4612.074514,-763.0150889,120.0261655,779.6803254,125.3264764,-1744.763601,627.5998979,-725.5028464,117.038549,741.348767,122.2069279,-1658.985487,611.9780725,19.29310759,-19.71449401,-43.17399167,-98.72466521,-45.08053913,100.8809396,-744.0225929,760.2730088,-1701.334034,-122.6476922,274.4602142,-280.4547803,-119.5948223,267.6285217,-273.4738748,44.1169675
1995,240.2293869,16.43940294,15.85911969,3.352195614,7.282570009,-0.979701516,270.2539691,251.5116774,11.23721543,53.03582593,0.959815061,4442.813895,3988.753795,37.66934429,386.2371153,-0.94033227,260.7144589,55.10809444,119.7211028,-16.10570799,53.16287147,115.4951494,-15.53720361,24.41259924,-3.284151125,-7.134744879,4285.990043,4134.701809,905.94417,184.7331125,1968.14345,871.8773129,-264.7682233,15.77878653,843.1163418,178.2123446,1831.651399,841.1015114,-246.4063717,15.22182193,81.83580811,177.7864631,-11.009117,3.217487837,-51.95927908,6.989920375,873.9658657,1898.671299,-255.4223507,401.3285558,-53.98948368,-117.290946,387.1623334,-52.08374578,-113.150773,-23.91706049
2015,221.933863,17.56938788,17.38439892,-3.055775045,4.521078047,-1.335140604,308.6833906,302.2173257,9.337761127,20.44014671,1.782600432,5423.378224,5253.866551,-28.53409743,92.41149859,-2.380022218,305.4332477,-53.68809706,79.43257387,-23.45760315,-53.12281239,78.59622432,-23.21061687,-13.81539747,4.07988934,-6.036274875,5366.275202,5309.773421,-943.267002,164.0587472,1395.581701,359.120866,-412.1357286,31.31919844,-923.5081622,162.3313644,1366.348117,355.3396644,-403.5026228,30.98943703,42.21674684,-62.46049024,-12.46722403,-5.447225917,-27.29046983,8.059275683,-933.3352964,1380.887551,-407.7963309,-242.728077,71.68115833,-106.0536547,-240.1723809,70.92642382,-104.9370104,18.44549813
2009,217.3177818,17.80474294,16.60037279,-0.472722144,3.448385842,-5.699625747,317.0088713,275.5723767,0.223466225,11.89136492,32.48573366,5644.261463,4574.604183,-0.105637433,41.00601443,-185.156524,295.5653702,-8.416696258,61.39762349,-101.4803713,-7.847363816,57.2444905,-94.61591215,-1.630128349,2.694339303,-19.65450873,5262.46544,4906.495329,-149.8571133,3.978758701,1093.168904,211.7226956,-1806.831925,578.4001371,-130.2691647,3.709622648,950.2798823,197.4010906,-1570.659413,539.275289,0.770597768,-5.62131152,-1.273673852,-15.35672567,-67.77632966,112.023344,-139.7202955,1019.223438,-1684.611994,-29.02401622,47.9720187,-349.9434757,-27.06073828,44.72703685,-326.2721719,9.291121509
1955,338.9678205,13.80459455,13.3290155,1.162032294,5.128250885,-3.068392711,190.5668307,177.6626542,1.350319052,26.29895714,9.415033829,2630.697832,2368.068271,1.569114346,134.8676502,-28.88902118,184.0016547,16.04138467,70.79342421,-42.35791729,15.48874646,68.35453553,-40.898654,5.95919314,-3.565571421,-15.73548764,2540.068239,2452.560907,221.4448114,18.64060703,977.2745179,363.0464404,-584.7338741,129.9707247,206.4497416,17.99842357,911.0986635,350.5392073,-545.1387931,125.4931318,6.924774874,30.56023749,-4.143309137,10.94057336,-80.6955284,48.28265557,213.8158649,943.6066485,-564.5893361,82.26424513,-49.2212678,-217.2220268,79.43017772,-47.52555673,-209.7385586,-18.28514479
1980,291.2822189,15.34528143,14.77794959,1.036330596,7.302566716,-3.36358169,235.4776622,218.3877942,1.073981104,53.32748064,11.31368179,3613.470996,3227.323814,1.112999478,389.4274852,-38.0544929,226.7717955,15.90278465,112.0599414,-51.61510765,15.31484131,107.9169628,-49.70684067,7.567873317,-3.485782618,-24.5627797,3479.877022,3351.222162,244.032706,16.4805423,1719.591338,818.3251983,-792.0483528,173.611631,226.3219529,15.87123862,1594.791437,788.0708208,-734.5651858,167.1930191,7.842818666,55.2648998,-3.612423178,11.72471459,-179.3713375,82.61891604,235.01055,1656.016166,-762.765459,116.1311459,-53.49031527,-376.9227671,111.8376504,-51.51271982,-362.9875202,-25.45516012
1926,74.96101238,13.53830703,12.88772114,-0.645592769,4.184206202,-6.166603886,183.2857572,166.0933561,0.416790023,17.50758154,38.02700349,2481.378855,2140.564856,-0.269076625,73.25533126,-234.4974675,174.4779256,-8.740233116,56.64706823,-83.48537673,-8.320219568,53.92488271,-79.47347124,-2.701293266,3.981114875,-25.80234223,2362.135727,2248.62285,-118.3279594,5.642631295,766.905402,237.0230142,-1130.250663,514.8212486,-107.2286696,5.371473586,694.9688506,225.6328287,-1024.231935,490.0814166,1.743935398,-11.30276804,-2.570178974,-24.54995846,-107.9623204,159.1128238,-112.6416871,730.0516185,-1075.936254,-36.57093761,53.8975555,-349.3200311,-34.81351432,51.30749833,-332.5333913,16.65780555
1967,175.2046329,16.32249666,16.15340406,1.902083518,5.224022743,-4.105389901,266.4238971,260.9324628,3.617921711,27.29041362,16.85422624,4348.703169,4214.947505,6.881589257,142.5657414,-69.1931702,263.6638838,31.04675187,85.26909375,-67.01021293,30.72512363,84.3857502,-66.31602191,9.936527559,-7.808794467,-21.44665021,4303.652862,4259.069252,506.7605035,59.05351503,1391.804498,445.4476851,-1093.773977,275.1030514,496.3153369,58.44175126,1363.11712,440.8330782,-1071.229498,272.2531266,18.9001053,51.90864596,-14.85297925,32.05814595,-112.0377885,88.0468612,501.5107278,1377.386125,-1082.443046,162.1889379,-127.4590216,-350.0628764,160.5087446,-126.1386123,-346.4364067,-40.79331989
1943,332.7808787,19.14188718,17.90103517,2.246404794,2.959262202,-5.454772386,366.4118449,320.4470603,5.046334499,8.757232781,29.75454178,7013.814197,5736.334098,11.33611001,25.91494796,-162.3042529,342.6595957,43.00042713,56.64586322,-104.4146376,40.21297124,52.97385677,-97.64607235,6.647700798,-12.25362684,-16.14210174,6559.151324,6133.961476,823.109325,96.59636567,1084.308723,167.6299619,-1998.693213,569.5580819,719.8538125,90.33461137,948.2868733,156.763532,-1747.965776,532.637099,14.93342694,19.6722897,-27.52660608,66.84074531,-47.76871155,88.05149084,769.7521586,1014.01959,-1869.130101,127.2495387,-234.5575425,-308.9902904,119.0007258,-219.352605,-288.9603311,-36.26169474
1958,396.4418869,14.14671517,14.59745788,1.257835487,8.178069676,-1.473719447,200.1295502,213.0857766,1.582150113,66.88082362,2.171849007,2831.175744,3110.510648,1.990084558,546.9560355,-3.200696118,206.5060789,17.79424037,115.6928224,-20.84828926,18.36120055,119.3790276,-21.51255755,10.28666626,-1.853696618,-12.05218032,2921.382679,3014.463788,251.7300502,22.38222701,1636.673405,946.1439622,-294.9348099,30.72452931,268.0268516,23.09536964,1742.630328,976.2900058,-314.0286527,31.70347441,12.93893386,84.12507337,-2.331645389,2.731828755,-98.56357038,17.76153251,259.7506743,1688.821101,-304.3320243,145.5225376,-26.22371807,-170.4987621,150.1591774,-27.05925831,-175.9311945,-15.1596601
1933,251.4724036,18.10342333,15.70329272,-1.891942819,5.573757856,-4.633734805,327.7339364,246.5934022,3.579447629,31.06677664,21.47149824,5933.106191,3872.328376,-6.772110236,173.1586904,-99.49322874,284.2833558,-34.25064177,100.904098,-83.88646279,-29.70973189,87.52635115,-72.76489402,-10.54523115,8.766761288,-25.82731577,5146.501936,4464.184751,-620.0538674,64.80025573,1826.709603,562.4150091,-1518.632148,388.7076223,-466.5406163,56.20911388,1374.451913,487.8506874,-1142.64843,337.173222,19.95097434,-58.77656496,-16.58621106,-40.62284691,-143.9552042,119.676932,-537.8478534,1584.526588,-1317.29368,-190.9047836,158.7083909,-467.562831,-165.5948515,137.6670187,-405.5738997,48.8638046
