year,Loss,pcpn1,pcpn2,pcpn3,pcpn4,pcpn5,pcpn6,pcpn7,pcpn8,pcpn9,pcpn10,pcpn11,pcpn12,dpt1,dpt2,dpt3,dpt4,dpt5,dpt6,dpt7,dpt8,dpt9,dpt10,dpt11,dpt12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,vpdmax1,vpdmax2,vpdmax3,vpdmax4,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmax10,vpdmax11,vpdmax12,vpdmin1,vpdmin2,vpdmin3,vpdmin4,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdmin10,vpdmin11,vpdmin12
1962,281.2206442,137.0731123,170.9393732,121.1221847,74.907473,75.04327151,115.1866709,59.98261512,112.3987663,130.3698516,96.21677441,179.99215,114.6647273,-5.331423924,0.371792515,-0.158241483,4.372970347,15.62175353,18.05112938,19.35012391,17.66689884,14.86577209,10.63106501,3.064725663,-2.378233234,5.041222789,11.11507023,11.08575154,19.03760265,30.57961491,29.91199996,32.50727037,32.00358916,25.70147394,23.1390774,13.82107351,7.05998509,-5.165394535,-0.043525569,1.296821109,6.969612344,17.55033267,18.53407462,20.04325082,18.3998756,15.05017988,11.3872981,3.88828125,-1.248613015,3.747685674,6.230279301,7.046786321,14.10848906,26.07426287,19.81176174,25.92293865,26.91973202,14.75007705,14.43162022,7.364199028,4.258605376,0.443581403,0.604612167,0.839506676,1.917017035,3.00428988,1.696207036,2.043950833,2.081958908,1.147003112,1.232349385,0.725271217,0.662467908
1933,211.6372542,98.47313789,90.8382081,158.7558338,145.0284713,222.6572369,15.23705239,131.2179184,71.09654559,148.2182383,80.82815367,64.7689547,188.2267116,1.15802015,-3.174076379,1.37750925,6.274107428,14.83959197,16.65522769,19.20949195,18.15622725,17.07246027,7.465726698,-0.933350914,-2.682745389,12.21666838,8.277129586,14.21110483,20.00111167,26.30682631,33.35458975,32.17366722,31.1623403,30.9691162,21.85292669,11.95979547,7.49236945,1.697826949,-2.315453716,3.102446032,8.893580567,16.04732954,19.0295218,20.8078942,18.89524846,19.21095367,8.734096362,0.691602835,-2.269836929,6.757302736,5.384490373,8.534563311,12.74031636,16.19255134,31.42139451,24.61040169,23.43073804,24.30688302,14.71875386,7.431971106,4.683997108,0.869942636,0.868702842,1.276222665,2.029711133,1.635808812,3.08490429,2.450254991,1.454076748,2.820071808,1.328976956,1.156647904,0.768401172
1935,295.8056846,117.5459676,42.68905377,293.4803335,78.5267823,161.6861023,247.7100376,56.54252835,65.33370494,60.7649855,107.0627917,208.4566026,72.91939396,-2.616045897,-1.128065882,5.169891327,6.209112217,11.66780051,16.295236,19.95844197,19.2992738,13.80746069,8.504175399,3.864293145,-2.996977237,8.480378334,10.79585418,18.3782617,18.33119104,23.67395732,27.6192989,33.14632995,32.38796712,28.67886234,22.83297255,17.22370298,6.779892389,-1.355272402,0.312054281,7.217672448,8.386691996,13.01602367,17.03161071,21.31900342,20.6435392,14.46076724,9.960280542,5.186368788,-1.548051576,5.338491183,6.540245024,11.24614758,10.582698,14.38415492,17.2696592,26.2796654,25.09022613,22.45561549,15.51924064,10.57657585,4.343528679,0.908813082,1.074561469,1.620842261,1.755803133,1.572060184,1.337391437,2.185091433,2.140568927,1.249320362,1.469995753,1.170521913,1.011115437
1972,245.5781552,65.89152665,100.6092315,97.00392946,180.754594,64.04431375,59.64203887,189.4231515,98.53533505,127.0312611,125.1376294,49.86243237,113.2256451,-3.933575368,-3.72523463,1.075101174,7.020609607,12.08466609,14.80602255,18.84579559,19.09077769,17.65897966,8.241547087,1.672348425,2.631374922,7.107975755,8.905330648,15.24210337,20.80360369,26.62005317,30.48744301,30.72665218,30.47212079,28.02029982,19.60611108,15.03750758,12.06854612,-3.565590985,-2.022711416,3.108123236,8.791012681,13.89740468,16.5735238,19.71364687,19.10091724,17.89180865,8.783167417,3.591266503,3.239525951,4.715859772,5.832233263,9.546158389,12.69583654,19.76492502,25.32373799,20.61374983,19.60981289,16.13825915,10.92826099,9.522740167,5.71969247,0.734728695,1.021439103,1.541562777,1.713499253,2.031937179,2.573503201,1.905914893,1.224449667,1.274790395,1.164572101,1.441006549,0.966938461
1979,232.5481101,104.5577334,146.862925,168.0060858,261.6354626,141.6048834,74.8215481,138.5692379,102.988974,67.08897484,38.98988436,180.5732243,191.5298851,-8.63162421,-6.069608841,3.301798684,7.433148324,12.0119035,16.57174625,19.96329663,19.84925388,15.46713452,8.098394635,5.217273698,-1.545798695,-0.430350912,3.067543909,13.27766559,18.72635227,23.95754137,30.29185429,30.53333368,30.35389225,27.09912531,22.85503831,16.0039575,7.933719427,-9.203921938,-7.223085263,3.343440031,8.604197488,12.55303398,18.04144731,20.97500112,19.48490208,13.70439969,8.616924273,5.075007829,-1.894521135,1.806060052,2.548113186,6.225747616,9.989971237,14.72468206,24.19988048,18.75114842,18.65160393,16.86340052,15.82503918,8.656529284,4.033213411,0.301100234,0.32902798,0.813698647,1.576650896,1.599476844,2.947430517,2.333208884,1.082537952,0.352702739,1.47329847,0.765052402,0.480649647
1970,413.2219952,22.66223561,69.79059847,159.5083198,185.3733041,116.1873098,159.8696466,26.4986614,102.9573605,118.7901997,112.0180786,92.43726762,108.3965088,-7.673240768,-3.812080068,0.181593492,7.804389965,13.14222349,17.31024394,18.28803376,19.76083128,17.66032151,9.037281115,0.854115902,-3.37662411,3.170045281,7.222778597,10.77174563,21.82567405,27.83119515,28.90488872,31.91769127,31.31142161,29.79522399,21.07474206,13.21188539,5.99500218,-7.669182964,-2.832547352,1.845107561,9.959054882,15.18397685,18.13834443,19.22854279,20.43971232,18.56494397,9.390017984,1.87593568,-2.237668141,3.682317327,4.822640904,5.932876763,14.02418175,21.35223028,18.21208056,25.23712948,21.18378785,20.13952334,12.44118788,7.860546686,4.085925729,0.60544386,0.851733387,1.062645276,1.869794108,2.415925096,1.689281207,2.042032297,1.687699648,1.927453281,1.034491284,1.023371164,0.887687575
1983,386.1650553,24.96003814,39.62831057,85.65807581,316.0040898,205.3022284,98.3624464,21.72322667,10.65278587,23.08214179,158.3625401,138.5151688,303.359796,-3.062043082,-0.701931453,2.148391155,4.62346551,11.51806907,16.07173663,19.89450461,19.73629981,14.16009669,9.641551153,3.605475757,3.237698562,5.033807914,9.566281879,13.45827781,15.29009627,23.35314463,29.48899482,33.90537023,35.38208551,29.49900199,22.35103163,14.20098749,11.20864191,-2.277756823,-0.514205924,3.464048535,5.326266386,12.11689079,16.37543706,20.86165043,21.30723822,15.24123216,9.744665069,4.258378111,3.260497981,3.166450053,5.424623914,7.83437403,7.747288861,13.16254872,21.78295662,28.53860259,33.80554201,23.79955635,13.73289374,6.447314637,4.000547801,0.437185783,0.439434932,0.835174847,0.680279505,1.237266073,1.337318149,2.197373969,2.564247779,1.69312599,0.743853224,0.898253734,0.567248816
1968,269.8211022,50.83158061,42.30596448,147.0983774,161.2902471,157.2329363,85.8320616,78.33344706,66.43498025,105.0749502,48.49946295,77.68209554,164.8989115,-5.09316044,-7.489382173,0.414507553,6.597739764,11.14385944,17.25395347,18.93839472,19.50935238,13.97985321,7.939578145,0.046772582,-0.105745443,4.319862471,5.508091222,14.19197583,20.81934851,24.23871574,31.22708092,31.96556275,31.5348313,27.28480084,21.8429786,12.2816526,8.829098936,-5.177891127,-4.545717368,2.020772565,8.946875105,12.51832681,18.74099893,20.14105611,20.48400978,14.35791786,8.355442904,1.984874596,-0.232723145,3.527286638,4.98933982,9.241808601,13.91279916,15.80923721,24.89912303,24.78596487,22.26448324,19.22094179,14.58370875,7.449650192,4.565492633,0.649390548,1.11474015,1.243474697,1.954879076,1.679790646,2.337755354,2.309033128,2.021931683,1.179374424,1.104240063,1.195365666,0.660000862
1969,253.6379929,224.2226343,40.33521328,66.64922755,141.2986115,68.21877159,139.5239975,106.3279648,41.02063629,75.49942724,105.5349648,130.636822,143.3788159,-5.065347512,-2.028087114,-3.474709816,7.88428976,12.64678012,17.02973528,21.4154685,18.11335617,15.16918281,7.775402167,2.998792524,-3.758947059,5.886488004,7.467796353,11.19250238,20.81416763,26.28960093,31.00429467,33.36441984,31.59548292,27.79853977,21.87298242,13.10596869,7.040229233,-3.079371366,-0.169968244,-1.021834091,8.997524235,13.45957264,18.20028328,21.82117266,18.49758568,15.35090284,9.140160375,4.439844866,-1.768306191,4.122262621,4.497161013,8.160466042,12.57513882,18.132623,24.19596182,24.48321803,24.59732763,18.73078264,14.52069833,6.816485374,4.744045241,1.045061788,1.016881817,1.218035648,1.338644294,1.511812254,1.974355304,1.411070577,1.435513323,1.10803102,1.54645973,1.088778478,1.054701423
1974,319.7412988,108.4881149,56.13639743,106.1240884,111.8976407,128.7635671,103.2958389,26.13576853,175.3592304,87.71239523,42.81532491,239.1285784,136.2748088,-0.312001594,-0.936069189,5.484993612,7.461513494,14.58958804,15.76304759,19.93133185,19.6876807,14.30180047,7.799121035,6.264916996,-1.337296935,5.908161844,10.12983989,16.34858923,21.03283598,25.367457,27.5305768,33.24536305,30.03244694,23.5372512,21.99017424,15.94603668,6.976402191,-1.196499026,-0.572194509,5.475250999,8.750004644,14.90667362,16.08888537,20.61700365,19.00071571,13.2923704,7.343824732,6.12970638,-1.391938991,2.62144895,5.66947462,8.086188214,13.32435659,13.93419175,17.17289976,25.95030944,17.09168887,9.939010473,14.32812172,7.535827732,3.911242151,0.299320073,0.762552691,1.020900209,1.793291789,1.443926377,1.682405738,2.304911498,0.981598692,0.728928707,0.944460108,1.047305174,0.554250402
1955,342.624662,16.08221793,76.63479452,140.5770009,138.0989473,145.0515704,99.6631092,109.9782831,44.68042161,46.68761745,87.15481319,27.78268434,175.5309319,-2.771601221,-1.34088543,2.743564367,9.714387292,14.02320129,14.93128393,21.77029794,19.42461841,14.73713342,8.287573003,1.672229362,-1.571466894,7.796432339,9.353454005,15.3434589,23.79814076,26.77808074,27.83197048,33.15456768,32.94379853,31.51972948,22.43578446,15.29267288,8.301640487,-2.323407362,-1.232368124,3.667643473,11.47253486,15.12949791,15.73229548,22.45819842,20.14767025,16.0459237,8.72649288,2.678792339,-0.686571704,4.677370467,5.296343819,8.824263437,16.79255673,18.12799106,20.5366387,23.23569728,27.30270966,28.87490444,15.11164461,9.968256345,4.44483269,0.52488294,0.612644809,1.059223794,1.879447393,1.849740037,1.744664764,1.868561229,1.826059072,2.262325023,1.170590994,0.682187976,0.553442268
1943,310.2614551,6.126138433,30.56265874,143.8783274,86.63605486,199.3380537,100.82448,67.21843623,72.45550344,119.4042088,51.54516372,163.7904446,62.30510625,-4.085570305,-2.591803428,-1.699300244,5.280587252,13.12705437,19.10545487,19.00591653,18.59599648,12.84873468,5.959016277,3.522186025,-2.528145492,8.850960139,12.44675062,11.83523514,20.71932393,25.59840492,31.59336395,33.58873495,33.40284791,26.0702656,21.39138115,15.88842869,6.603332503,-2.934743538,-1.224715971,0.01729874,8.224304964,14.95135801,20.68667853,21.01745849,20.72667722,13.62842909,7.878841848,5.580498,-1.489713247,5.692826576,8.225526583,7.509378824,14.33192665,16.07058129,23.34553858,28.28167553,28.1582288,17.95685263,15.27905159,8.752371733,3.7153226,0.781557391,0.974058117,1.101114928,2.030352782,2.054611546,2.253488958,3.131743153,3.228160624,1.311624821,1.581724376,1.292637597,0.73844142
1996,287.0931139,92.85156655,38.06160285,100.5382048,136.2469552,141.4699744,114.1848676,86.47494034,7.178615621,141.0133035,83.39646205,79.61835645,63.34300508,-3.964912964,-3.242051224,-2.495445051,4.473363083,14.40939955,17.77856999,18.15734863,18.65317635,14.35793983,8.776905968,-0.840641686,-3.363507377,5.543908157,8.971864625,10.9883182,18.60680224,25.89946826,29.41053766,30.35895463,31.16236885,26.25094423,21.48619895,11.68262769,6.532492225,-4.269716212,-2.517712359,-0.811611758,6.222848722,15.57918291,18.37673427,19.04684148,19.17026045,13.76750128,8.310548556,-0.019271295,-2.468120563,3.51014564,6.428226101,7.336166184,11.81040771,16.06594616,20.42221139,21.03108825,22.98258151,16.88198157,13.00942987,6.825030987,4.688970676,0.408627459,0.62449806,0.754638102,1.521317083,1.967974473,1.453209202,1.421155154,1.03479559,0.276972984,0.603035312,0.732400729,0.547843589
